,Metabolites,Odds ratio (recurr / cleared)
0,saccharin,1.1950322389602661
5,threonylphenylalanine,1.1748243570327759
6,4-imidazoleacetate,1.1731206178665161
8,lanosterol,1.172552466392517
12,chenodeoxycholic acid sulfate (1),1.168235421180725
14,linolenoyl-linolenoyl-glycerol (18:3/18:3) [2]*,1.1651115417480469
15,linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,1.163607120513916
16,alanylleucine,1.163332223892212
18,glycochenodeoxycholate 3-sulfate,1.162431001663208
20,N(1)-acetylspermine,1.1614201068878174
22,1-palmitoyl-GPC (16:0),1.1604715585708618
23,palmitoyl-oleoyl-glycerol (16:0/18:1) [2]*,1.1603513956069946
25,valerate (5:0),1.158146619796753
26,alpha-ketoglutaramate*,1.1557725667953491
27,4-hydroxybenzoate,1.1554970741271973
29,"androstenediol (3beta,17beta) disulfate (2)",1.1537550687789917
31,"bilirubin degradation product, C17H20N2O5 (2)",1.1518296003341675
32,"bilirubin (E,E)*",1.1500493288040161
33,2-hydroxy-4-(methylthio)butanoic acid,1.149366021156311
34,"1,3-propanediol",1.1485761404037476
35,sucralose,1.1483864784240723
37,taurocholenate sulfate*,1.1459009647369385
38,octadecenedioylcarnitine (C18:1-DC)*,1.144853115081787
39,1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,1.14479398727417
40,1-(1-enyl-oleoyl)-GPE (P-18:1)*,1.1445119380950928
41,lithocholic acid sulfate (2),1.1444416046142578
46,"diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])*",1.1420302391052246
48,paraxanthine,1.1405055522918701
49,(3'-5')-adenylylguanosine*,1.1400666236877441
50,arachidonoyl ethanolamide,1.140001893043518
56,hydantoin-5-propionate,1.135985016822815
57,3-amino-2-piperidone,1.135857343673706
58,gamma-glutamyl-epsilon-lysine,1.135696530342102
59,2-palmitoyl-GPC* (16:0)*,1.1353604793548584
61,3-hydroxystearate,1.1343438625335693
62,3-dehydrochenodeoxycholate,1.1342486143112183
63,3-methylurate*,1.1333544254302979
65,N1-methylinosine,1.1321561336517334
68,5-(2-Hydroxyethyl)-4-methylthiazole,1.1313761472702026
69,3-methylglutarylcarnitine (2),1.1303728818893433
76,gamma-glutamylcysteine,1.126876950263977
78,arabinose,1.1263318061828613
80,"ceramide (d18:1/14:0, d16:1/16:0)*",1.1260703802108765
82,oleoyl-oleoyl-glycerol (18:1/18:1) [2]*,1.1259238719940186
89,10-undecenoate (11:1n1),1.1239333152770996
91,glycoursodeoxycholate,1.1230335235595703
92,alanyl-glutamyl-meso-diaminopimelate,1.1229803562164307
93,sucrose,1.1228965520858765
94,glycine,1.122876524925232
95,"N6,N6-dimethyllysine",1.122653841972351
97,N6-formyllysine,1.1214185953140259
101,malonate,1.119571566581726
