,Metabolites,Odds ratio (recurr / cleared)
1,gamma-glutamylcitrulline*,0.8461384177207947
2,deoxycholic acid glucuronide,0.8469990491867065
3,valylglutamine,0.8477334976196289
4,piperidine,0.8482822179794312
7,"1,2-dipalmitoyl-GPC (16:0/16:0)",0.8527323603630066
9,tauroursodeoxycholate,0.8538624048233032
10,pentadecanoate (15:0),0.8545046448707581
11,"3,5-dihydroxyphenylpropionate",0.8550870418548584
13,3-carboxyadipate,0.8561892509460449
17,heptenedioate (C7:1-DC)*,0.8602006435394287
19,acesulfame,0.860802948474884
21,chiro-inositol,0.8614377975463867
24,tryptamine,0.8632858991622925
28,2-aminoadipate,0.8655271530151367
30,pimelate (C7-DC),0.8675187230110168
36,pregnenediol sulfate (C21H34O5S)*,0.8726528286933899
42,anserine,0.8742217421531677
43,guanine,0.8744423985481262
44,N-acetyl-3-methylhistidine*,0.8746122121810913
45,methionine sulfone,0.8754510283470154
47,salicylate,0.8764450550079346
51,phenylacetate,0.877651035785675
52,myristoylcarnitine (C14),0.8776693344116211
53,GlcNAc sulfate conjugate of C21H34O2 steroid,0.8779181838035583
54,pimeloylcarnitine/3-methyladipoylcarnitine (C7-DC),0.8787680268287659
55,phenylalanylglycine,0.8802728056907654
60,lactose,0.88078773021698
64,pregnenolone sulfate,0.8825544118881226
66,nicotinate ribonucleoside,0.8833916783332825
67,undecanedioate (C11-DC),0.8834623098373413
70,isocitric lactone,0.8849852681159973
71,laurate (12:0),0.8851498365402222
72,21-hydroxypregnanolone monosulfate (2),0.8853176832199097
73,5-hydroxyhexanoate,0.8856477737426758
74,vanillactate,0.8858637809753418
75,benzoate,0.887107789516449
77,imidazole propionate,0.8876854777336121
79,caprate (10:0),0.887947678565979
81,fructosyllysine,0.8880621194839478
83,1-myristoyl-2-palmitoyl-GPC (14:0/16:0),0.8882524967193604
84,sphingosine,0.8887507915496826
85,3-formylindole,0.889254093170166
86,5-methylcytosine,0.8893252611160278
87,N-acetylglucosamine 6-sulfate,0.8894037008285522
88,1-pentadecanoylglycerol (15:0),0.8894933462142944
90,12-dehydrocholate,0.890434205532074
96,beta-citrylglutamate,0.8909681439399719
98,N-linoleoylglycine,0.8924364447593689
99,galactonate,0.8929228782653809
100,cadaverine,0.8930308222770691
104,tyrosylglycine,0.8948094248771667
110,deoxycholic acid 12-sulfate*,0.8969852328300476
111,butyrylglycine (C4),0.8973579406738281
113,3b-hydroxy-5-cholenoic acid,0.8977646827697754
114,dihydrokaempferol,0.8983597755432129
115,O-acetylhomoserine,0.8985387682914734
116,gamma-glutamylhistidine,0.8985873460769653
117,arabitol/xylitol,0.8987610936164856
118,theophylline,0.899294912815094
120,pantoate,0.8997091054916382
123,2-iminopiperidine,0.8998550176620483
124,dimethylglycine,0.8999477028846741
130,N-propionylmethionine,0.9025353789329529
132,5-acetylamino-6-amino-3-methyluracil,0.9030593633651733
133,"5alpha-androstan-3alpha,17beta-diol monosulfate (1)",0.9037981033325195
134,N-formylphenylalanine,0.9045058488845825
137,Flavone derivative C26H28O14 (3)*,0.9058755040168762
138,2-hydroxyoleate,0.9064181447029114
139,(16 or 17)-methylstearate (a19:0 or i19:0),0.9065259099006653
141,3-methylhistidine,0.906840980052948
142,dopamine,0.9072009921073914
143,N-acetylglycine,0.9075773358345032
146,N-formylanthranilic acid,0.9077879786491394
148,theobromine,0.9082008004188538
151,cytosine,0.9093676805496216
155,3-hydroxy-2-methylpyridine,0.9108678698539734
156,leucylalanine,0.9110624194145203
158,calystegine A3,0.9113447666168213
165,imidazole lactate,0.9137858152389526
168,gamma-glutamylserine,0.9156787991523743
170,fumarate,0.9165963530540466
171,trans-urocanate,0.9167075753211975
172,3-phenylpropionate (hydrocinnamate),0.9168038964271545
173,feruloylquinate (2),0.9170122146606445
177,butyrate/isobutyrate (4:0),0.9175789952278137
179,N-acetyl-beta-glucosaminylamine,0.9177525043487549
181,"N1,N12-diacetylspermine",0.9178605675697327
188,cis-urocanate,0.9203685522079468
189,1-oleoylglycerol (18:1),0.9204195141792297
190,2'-deoxyguanosine,0.9205917119979858
191,1-carboxyethylphenylalanine,0.9208261966705322
192,1-methyl-5-imidazoleacetate,0.9209007620811462
193,maltose,0.9209910035133362
194,7-methylurate,0.921149492263794
195,glycerophosphorylcholine (GPC),0.9216123819351196
196,stearidonate (18:4n3),0.921772301197052
198,theanine,0.922020435333252
199,"2,6-dihydroxybenzoic acid",0.9221374988555908
200,ponciretin,0.9237258434295654
201,methylurea,0.9238886833190918
202,syringic acid,0.924014687538147
206,nicotinamide riboside,0.9246679544448853
210,xanthosine,0.9266145825386047
214,1-linoleoyl-digalactosylglycerol (18:2)*,0.9269600510597229
217,glycosyl-N-stearoyl-sphingosine (d18:1/18:0),0.9272950291633606
218,N-butyryl-isoleucine,0.9273883104324341
223,laurylcarnitine (C12),0.9295217394828796
225,ribitol,0.9303336143493652
226,diacetylspermidine*,0.9310632348060608
228,"2,4,6-trihydroxybenzoate",0.9312038421630859
229,2-methylbutyrylcarnitine (C5),0.9312512874603271
231,diglycerol,0.9317495226860046
233,propionylcarnitine (C3),0.9321627020835876
235,epiandrosterone sulfate,0.9329662919044495
237,2-aminophenol,0.9333285689353943
238,stachydrine,0.9335152506828308
241,isohyodeoxycholate,0.9338315725326538
243,7-ketolithocholate,0.9346138834953308
244,1-linoleoyl-GPI* (18:2)*,0.9346445202827454
249,histidylalanine,0.9357056617736816
252,gamma-tocotrienol,0.9360544085502625
253,kynurenine,0.9361404180526733
256,"hydroxy-N6,N6,N6-trimethyllysine*",0.9366316795349121
260,pyruvate,0.9373667240142822
261,1-carboxyethylvaline,0.9377357959747314
262,dihomolinolenate (20:3n3 or 3n6),0.9377621412277222
264,"1,7-dimethylurate",0.9380425810813904
266,acetylcarnitine (C2),0.9386977553367615
267,dexpanthenol,0.9387154579162598
269,N-acetylasparagine,0.9387757182121277
270,"androstenediol (3beta,17beta) monosulfate (1)",0.9387852549552917
274,carnosine,0.9401381015777588
275,tetrahydrocortisol sulfate (1),0.940280020236969
277,enterolactone,0.9404847025871277
279,guanosine,0.9416613578796387
280,"N,N-dimethylalanine",0.9418137669563293
286,asparagine,0.9433109760284424
288,valerylglycine (C5),0.9439391493797302
290,3-hydroxyoleoylcarnitine,0.9442655444145203
291,N-acetylglutamine,0.944284200668335
294,1-methylhypoxanthine,0.9447213411331177
295,hexadecenedioate (C16:1-DC)*,0.9447905421257019
297,beta-hydroxyisovaleroylcarnitine,0.9448604583740234
299,1-linoleoyl-GPG (18:2)*,0.945963978767395
300,1-linoleoyl-GPE (18:2)*,0.9461337924003601
303,5-(galactosylhydroxy)-L-lysine,0.9469478726387024
305,heptadecatrienoate (17:3)*,0.9471311569213867
306,2-methylbutyrylphenylalanine,0.9471400380134583
308,N-oleoyl-sphingosine (d18:1/18:1)*,0.9473633766174316
310,thymidine,0.9476998448371887
312,3-hydroxy-3-methylglutarate,0.947827935218811
316,gamma-glutamylisoleucine*,0.9485549926757812
318,N-methylhydantoin,0.9492273330688477
325,glycerophosphoserine*,0.9499569535255432
328,"1,3-dimethylurate",0.9514124989509583
330,5-dodecenoate (12:1n7),0.9518108367919922
331,4-ureidobutyrate,0.9521228075027466
332,eicosenoylcarnitine (C20:1)*,0.9521315693855286
334,leucylglutamine*,0.9522547721862793
335,3-aminoisobutyrate,0.9522822499275208
339,"9,10-DiHOME",0.9534095525741577
340,lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)*,0.9536112546920776
341,phenylpyruvate,0.9538023471832275
342,cystine,0.9539055824279785
345,spermine,0.9544397592544556
347,CMP,0.9545965790748596
348,pyridoxine (Vitamin B6),0.9546107053756714
349,dihydroxyphenylalanine (L-DOPA),0.9546592235565186
353,N-methylpipecolate,0.9549330472946167
356,2-oxindole-3-acetate,0.9551704525947571
357,quinate,0.9552232623100281
362,caproate (6:0),0.9556812047958374
363,creatine,0.9557403326034546
364,N-acetyltryptophan,0.955751895904541
365,chrysoeriol,0.9557616710662842
366,coumaroylquinate (4),0.9559329748153687
367,3-(4-hydroxyphenyl)lactate (HPLA),0.956108570098877
370,N-acetyl-beta-alanine,0.9567477703094482
371,homo-cis-aconitate,0.9567734599113464
372,"1,1-kestotetraose",0.9572579860687256
375,"5alpha-androstan-3beta,17beta-diol disulfate",0.9575973749160767
376,1-stearoyl-GPA (18:0),0.9576012492179871
377,palmitoyl-linoleoyl-glycerol (16:0/18:2) [2]*,0.9579930901527405
383,1-methylxanthine,0.9595993757247925
384,genistein,0.960107147693634
385,linoleoyl-linoleoyl-glycerol (18:2/18:2) [2]*,0.9603683948516846
387,linoleate (18:2n6),0.9605363607406616
388,myristate (14:0),0.9608023762702942
389,inosine,0.9609834551811218
391,daidzein,0.9612278938293457
392,stearoyl ethanolamide,0.9613774418830872
393,2-oxo-1-pyrrolidinepropionate,0.9614260196685791
394,nervonoylcarnitine (C24:1)*,0.9616762399673462
395,dimethyl sulfone,0.96170973777771
396,ursocholate,0.961778461933136
398,feruloylquinate (4),0.962419331073761
399,5-aminovalerate,0.9625419974327087
401,3-hydroxyoleate*,0.9626561403274536
402,citraconate/glutaconate,0.9627352356910706
406,2-oleoylglycerol (18:1),0.9636065363883972
407,gamma-tocopherol/beta-tocopherol,0.9637249708175659
409,apigenin,0.9637767672538757
410,nonadecanoate (19:0),0.9638532400131226
411,2-hydroxydecanoate,0.9640153050422668
415,2-palmitoylglycerol (16:0),0.9645490646362305
416,adipate,0.9646430611610413
417,lactosyl-N-palmitoyl-sphingosine (d18:1/16:0),0.9646489024162292
420,coumaroylquinate (3),0.9648244976997375
424,quinolinate,0.9658865332603455
428,5-hydroxypicolinic acid,0.9670578241348267
430,caffeine,0.9673831462860107
435,tetradecanedioate (C14),0.9681127667427063
443,8-hydroxyguanine,0.9693779945373535
445,sphingadienine,0.9697410464286804
448,beta-cryptoxanthin,0.9701827764511108
449,2-linoleoylglycerol (18:2),0.970620334148407
450,dihydrocaffeate,0.9707189798355103
452,"uridine-2',3'-cyclic monophosphate",0.9710114002227783
454,2-piperidinone,0.9712990522384644
457,syringaldehyde,0.9721066355705261
459,diaminopimelate,0.9721828103065491
460,pyrraline,0.9723771214485168
461,linolenoyl ethanolamide,0.9728149175643921
462,N-acetylcitrulline,0.9728726744651794
466,N-methylleucine,0.9732049107551575
468,2-palmitoleoylglycerol (16:1)*,0.9733849167823792
474,thymine,0.9738141894340515
475,N-acetylphenylalanine,0.9740629196166992
482,octadecanedioate (C18),0.9745838642120361
484,Flavone derivative C26H28O14 (2)*,0.9746678471565247
486,dihydroferulate,0.9752668142318726
487,margaroyl ethanolamide*,0.9753119945526123
488,vanillate,0.9754235744476318
490,valylleucine,0.9754725694656372
498,"5alpha-androstan-3alpha,17alpha-diol disulfate",0.9765238165855408
506,phenylacetylmethionine,0.9769614338874817
507,docosapentaenoate (DPA; 22:5n3),0.9770432710647583
509,"bilirubin degradation product, C17H18N2O4 (3)",0.9772228002548218
511,thioproline,0.9772374033927917
514,"N,N,N-trimethyl-alanylproline betaine (TMAP)",0.9774081707000732
515,N-acetylmuramate,0.9775336384773254
516,glycochenodeoxycholate glucuronide (1),0.9776747226715088
517,fructose,0.977756917476654
518,succinylcarnitine (C4-DC),0.9777917265892029
519,myristoleate (14:1n5),0.9778314828872681
522,S-carboxyethylcysteine,0.9780961871147156
523,N-palmitoylglycine,0.9782309532165527
530,xanthurenate,0.9789450168609619
532,indole,0.9790069460868835
534,"N,N,N-trimethyl-5-aminovalerate",0.9791235327720642
535,3-hydroxydodecanedioate*,0.9791350364685059
537,2-O-methylascorbic acid,0.9793161153793335
541,solanidine,0.980129599571228
543,arabonate/xylonate,0.9803159832954407
545,1-methyladenosine,0.9807837009429932
547,gluconate,0.9810253977775574
548,hexadecadienoate (16:2n6),0.9810954928398132
555,suberoylcarnitine (C8-DC),0.9822582602500916
556,putrescine,0.9822873473167419
557,erythrose,0.9823188781738281
561,glycerol 3-phosphate,0.9827451705932617
562,2'-deoxyadenosine 5'-monophosphate,0.9828490614891052
563,guanidinoacetate,0.9831247329711914
565,glutamine conjugate of C6H10O2 (2)*,0.9832403659820557
566,1-linoleoyl-GPA (18:2)*,0.9833312034606934
571,nicotianamine,0.9836876392364502
572,N-acetylsphingosine,0.9838322997093201
573,dihydroferulic acid sulfate,0.9840236902236938
576,3-methylxanthine,0.9843565225601196
583,5-methyluridine (ribothymidine),0.9851208925247192
586,N-acetylpyrraline,0.9854384660720825
590,N-oleoylglycine,0.9857887625694275
591,3-hydroxymargaroylglycine,0.985891580581665
593,N-methyl-GABA,0.9860122203826904
594,"2,3-dimethylsuccinate",0.9864340424537659
595,N-oleoylserine,0.9865530729293823
596,agmatine,0.9865855574607849
597,1-palmitoleoylglycerol (16:1)*,0.986755907535553
598,"2S,3R-dihydroxybutyrate",0.9868556261062622
600,1-carboxyethylleucine,0.9874525666236877
601,cryptochlorogenic acid,0.9876545071601868
603,5alpha-pregnan-diol disulfate,0.9876839518547058
608,1-linoleoyl-GPC (18:2),0.9880548119544983
610,"1,6-anhydroglucose",0.9883930683135986
611,margarate (17:0),0.9884376525878906
612,1-stearoyl-GPG (18:0),0.9884621500968933
613,2'-deoxyinosine,0.9884933233261108
614,1-linoleoylglycerol (18:2),0.9888113141059875
617,glycerol,0.9888598918914795
618,docosapentaenoate (n6 DPA; 22:5n6),0.9888648390769958
619,indole-3-carboxylate,0.9888811111450195
620,isovalerate (C5),0.9889348149299622
623,histidine betaine (hercynine)*,0.9891381859779358
624,3-methylglutarate/2-methylglutarate,0.9892029762268066
626,phytanate,0.9892699122428894
627,"2R,3R-dihydroxybutyrate",0.9896740913391113
629,riboflavin (Vitamin B2),0.9901424646377563
631,malate,0.9904854893684387
632,1-palmitoyl-2-oleoyl-GPC (16:0/18:1),0.9905261993408203
633,1-stearoyl-GPS (18:0)*,0.9907369017601013
636,N-acetylcarnosine,0.9909876585006714
637,gamma-glutamylmethionine,0.991065502166748
639,S-methylcysteine,0.9915011525154114
640,eriodictyol,0.9915105104446411
641,epicatechin,0.9915264248847961
644,tricarballylate,0.9923955798149109
647,taurochenodeoxycholate,0.9925161004066467
649,S-carboxymethyl-L-cysteine,0.9927747249603271
650,N-linoleoyltaurine*,0.992796778678894
652,glycylleucine,0.9928751587867737
654,linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*,0.9929519295692444
656,4-hydroxycinnamate,0.9929792284965515
659,docosahexaenoate (DHA; 22:6n3),0.9930089712142944
660,ascorbic acid 3-sulfate*,0.9931365251541138
661,8-hydroxyoctanoate,0.9931955337524414
663,ferulylglycine (2),0.9932759404182434
664,indoleacetate,0.9932772517204285
669,2-hydroxypalmitate,0.9943628907203674
670,adrenate (22:4n6),0.9943695664405823
671,tetrahydrocortisol disulfate,0.9945838451385498
676,alpha-tocotrienol,0.99491947889328
678,7-methylxanthine,0.9950538873672485
679,palmitoyl ethanolamide,0.9951170086860657
680,arachidonate (20:4n6),0.9953041076660156
683,catechol sulfate,0.9954546689987183
684,allo-threonine,0.9954637289047241
686,mevalonate,0.9956241250038147
690,linoleoyl ethanolamide,0.9959039688110352
691,orotate,0.995937705039978
692,acisoga,0.9960731267929077
695,OAHSA (18:1/OH-18:0),0.9963497519493103
696,ursodeoxycholate,0.9967406988143921
697,cholate,0.9967697858810425
699,gamma-glutamylglutamine,0.9969922304153442
700,"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*",0.9970122575759888
702,gamma-glutamylglycine,0.9970884919166565
703,"5,6-dihydrouracil",0.9971943497657776
706,1-methylnicotinamide,0.9972285628318787
709,2-hydroxyarachidate*,0.9974437952041626
711,oleoyl ethanolamide,0.9974997043609619
712,vanillin,0.9975109696388245
720,1-ribosyl-imidazoleacetate*,0.9990938305854797
722,pyroglutamine*,0.9994198083877563
724,N-methylphenylalanine,0.999455988407135
725,"ceramide (d18:1/20:0, d16:1/22:0, d20:1/18:0)*",0.9995466470718384
726,"androstenediol (3alpha, 17alpha) monosulfate (2)",0.9995905756950378
727,luteolin,0.9996197819709778
730,10-heptadecenoate (17:1n7),0.9996727705001831
731,C-glycosyltryptophan,0.9996767044067383
734,behenoylcarnitine (C22)*,0.9997140169143677
737,maltol,0.9997615218162537
739,fucosterol,0.9997764825820923
742,ectoine,0.9997901916503906
744,dimethylmalonic acid,0.9997984766960144
747,"3,4-dihydroxybenzoate",0.9998049139976501
748,3-hydroxybutyrate (BHBA),0.9998069405555725
749,creatinine,0.9998164176940918
750,1-carboxyethylisoleucine,0.9998254179954529
752,meglumine,0.9998297095298767
754,3beta-hydroxy-5-cholestenoate,0.9998432397842407
756,"5alpha-pregnan-3beta,20beta-diol monosulfate (1)",0.9998536109924316
757,"1,3,7-trimethylurate",0.9998574256896973
759,isobutyrylglycine (C4),0.9998599290847778
762,1-(1-enyl-palmitoyl)-GPE (P-16:0)*,0.999863862991333
765,caprylate (8:0),0.9998664855957031
766,N-acetylneuraminate,0.9998674988746643
767,1-oleoyl-GPG (18:1)*,0.9998679161071777
768,nicotinamide,0.9998683929443359
769,dihydrocaffeate sulfate (2),0.9998708367347717
774,dodecanedioate (C12),0.9998792409896851
777,1-dihomo-linoleoylglycerol (20:2),0.9998804926872253
780,N-acetylthreonine,0.9998835921287537
782,phosphocholine,0.9998840689659119
784,ribulonate/xylulonate/lyxonate*,0.999886691570282
785,glutarate (C5-DC),0.9998894333839417
786,N-monomethylarginine,0.9998912215232849
787,N-delta-acetylornithine,0.9998933672904968
788,pregnen-diol disulfate*,0.9998934864997864
790,2-hydroxybehenate,0.9998969435691833
794,"5alpha-androstan-3alpha,17beta-diol disulfate",0.9998981356620789
795,2-hydroxyglutarate,0.9999004602432251
797,7-ketodeoxycholate,0.9999070763587952
798,2-myristoylglycerol (14:0),0.9999077320098877
800,2'-O-methyluridine,0.9999098777770996
802,hesperetin,0.9999110102653503
803,galactitol (dulcitol),0.9999117255210876
805,5-methylnorleucine,0.999915361404419
809,gamma-CEHC,0.9999188184738159
812,isovitexin,0.9999222159385681
814,carnitine,0.9999229907989502
815,1-methylguanidine,0.9999251365661621
817,1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,0.999925971031189
820,N-carbamoylglutamate,0.9999269843101501
821,lactosyl-N-behenoyl-sphingosine (d18:1/22:0)*,0.9999274611473083
824,2-hydroxynervonate*,0.9999305605888367
825,glutamyl-meso-diaminopimelate,0.9999308586120605
828,5-oxoproline,0.9999315738677979
830,2-methylmalonylcarnitine (C4-DC),0.9999373555183411
831,oleoyl-linoleoyl-glycerol (18:1/18:2) [1],0.9999379515647888
832,4-hydroxyphenylacetate sulfate,0.9999386668205261
834,palmitoleoyl ethanolamide*,0.9999403953552246
837,glycoursodeoxycholic acid sulfate (1),0.9999446868896484
839,taurocholate,0.9999457001686096
841,N-palmitoyl-sphinganine (d18:0/16:0),0.9999465942382812
844,5-hydroxymethylfurfural,0.999949038028717
846,hypotaurine,0.9999499320983887
847,glycyrrhetinate,0.9999508261680603
848,glycylisoleucine,0.9999509453773499
849,1-methylhistamine,0.9999529719352722
850,1-myristoylglycerol (14:0),0.9999542236328125
851,chlorogenate,0.9999551773071289
854,2-palmitoyl-galactosylglycerol (16:0)*,0.9999568462371826
855,N2-acetyllysine,0.9999570846557617
858,tetrahydrocortisone,0.9999582767486572
859,1-palmitoyl-galactosylglycerol (16:0)*,0.9999583959579468
861,biopterin,0.9999596476554871
862,N-acetylisoleucine,0.9999604225158691
867,hexadecatrienoate (16:3n3),0.9999669194221497
871,alpha-hydroxyisovalerate,0.9999688267707825
872,margaroylcarnitine (C17)*,0.9999690055847168
873,1-methyladenine,0.9999695420265198
874,isocaproate (i6:0),0.9999699592590332
875,1-(1-enyl-stearoyl)-GPE (P-18:0)*,0.9999703764915466
876,norvaline,0.9999709129333496
877,N-acetyltyrosine,0.999971330165863
878,spermidine,0.9999725818634033
880,ursodeoxycholate sulfate (1),0.9999729990959167
882,betaine,0.9999734163284302
884,"branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*",0.9999746680259705
885,"5,6-dihydrothymine",0.9999749064445496
886,3-hydroxybutyroylglycine,0.9999750852584839
887,N6-methyllysine,0.999975323677063
890,3-dehydrocholate,0.9999778866767883
891,catechin,0.9999790191650391
892,palmitoyl dihydrosphingomyelin (d18:0/16:0)*,0.9999791383743286
893,2-methylserine,0.9999812841415405
895,N-acetylglucosamine/N-acetylgalactosamine,0.9999818205833435
896,biliverdin,0.9999818801879883
897,N-carboxymethylalanine,0.9999825358390808
899,ferulate,0.9999838471412659
900,3-hydroxydecanoylcarnitine,0.9999842047691345
901,"sphingomyelin (d18:1/14:0, d16:1/16:0)*",0.9999843835830688
903,picolinate,0.9999859929084778
904,D-urobilin,0.999987006187439
905,PAHSA (16:0/OH-18:0),0.9999879002571106
906,Flavone derivative C26H28O14 (4)*,0.9999881982803345
