,"Week 1, eventual recur.","Week 1, eventual recur.",All Data,All Data
,Metabolites,Odds ratio (recurr / cleared),Metabolites,Odds ratio (recurr / cleared)
0,coumaroylquinate (4),0.9108228,"2,3-dimethylsuccinate",0.9110962
1,quinolinate,0.91350764,chrysoeriol,0.9138906
2,8-hydroxyoctanoate,0.9146525,deoxycholic acid 12-sulfate*,0.91389227
3,ergosterol,1.092852,tartronate (hydroxymalonate),1.0914844
4,N-butyryl-leucine,0.91543835,stearidonate (18:4n3),0.9166731
5,1-stearoyl-GPG (18:0),0.916188,S-carboxyethylcysteine,0.91674525
6,hesperetin,1.0898091,lactobacillic acid,0.917208
7,1-linoleoyl-GPG (18:2)*,0.9183866,isocaproate (i6:0),1.0899985
8,1-palmitoylglycerol (16:0),0.9190571,tryptophan betaine,1.0895782
9,glutamine conjugate of C8H12O2 (2)*,1.0876813,eicosenoate (20:1n9 or 1n11),0.91778845
10,methylmalonate (MMA),1.0869607,oleoylcarnitine (C18:1),0.91806746
11,1-palmitoyl-2-linoleoyl-digalactosylglycerol (16:0/18:2)*,1.086904,(14 or 15)-methylpalmitate (a17:0 or i17:0),0.9182314
12,trans-urocanate,0.92084116,alpha-CEHC sulfate,1.0890367
13,daidzein,1.0858785,pipecolate,0.918865
14,guanine,0.9212829,"ceramide (d18:2/24:1, d18:1/24:2)*",1.0879948
15,anthranilate,1.0844595,1-methylguanidine,0.91953385
16,ponciretin,0.92228675,coumaroylquinate (2),0.91963786
17,glycylleucine,0.92235994,sarcosine,1.08609
18,saccharin,1.0837944,"N,N,N-trimethyl-5-aminovalerate",0.9207359
19,N-linoleoylglycine,0.923023,1-palmitoyl-2-oleoyl-GPC (16:0/18:1),0.92102957
20,N-acetylglucosaminylasparagine,0.9231631,linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,1.0856813
21,deoxymugineic acid,1.082554,digalacturonic acid,1.0856631
22,histidylalanine,0.9239972,N-acetyltryptophan,0.9211809
23,hydroxymethylpyrimidine,0.9241855,coumaroylquinate (5),0.92129153
24,sulfate*,1.0820312,oxalate (ethanedioate),0.9214954
25,tryptophan betaine,1.0820074,Flavone derivative C26H28O14 (4)*,0.92178684
26,glutamine,0.92449665,erythritol,0.9220888
27,N-palmitoyl-heptadecasphingosine (d17:1/16:0)*,1.0809822,2-methylcitrate/homocitrate,0.92228985
28,homo-cis-aconitate,1.0809302,N-palmitoylglycine,0.9223522
29,glycoursodeoxycholate,1.080811,2-methylbutyrylcarnitine (C5),1.0839041
30,pseudouridine,1.0807328,1-linolenoylglycerol (18:3),0.9228554
31,21-hydroxypregnenolone disulfate,0.92538875,"2,4,6-trihydroxybenzoate",0.923101
32,nervonoylcarnitine (C24:1)*,0.92540246,5-hydroxylysine,1.0832672
33,pregnenetriol disulfate*,1.0805881,3-hydroxymargarate,1.083155
34,syringaldehyde,1.0804896,erythronate*,0.9236537
35,fumarate,0.9256765,3-hydroxy-3-methylglutarate,0.92399144
36,ursodeoxycholate sulfate (1),0.9257046,palmitoyl-linolenoyl-glycerol (16:0/18:3) [2]*,1.0820013
37,3-hydroxyhexanoate,0.925795,imidazole lactate,0.9242591
38,N-acetylvaline,0.9260303,ribulose/xylulose,1.0818937
39,agmatine,1.0797155,indolepropionate,0.92437387
40,3-hydroxylaurate,0.92621344,"2,8-quinolinediol",0.92459595
41,N-acetylglucosamine/N-acetylgalactosamine,0.9263142,3-ureidopropionate,0.9247899
42,palmitoyl ethanolamide,0.9266055,3-(4-hydroxyphenyl)propionate,0.9248391
43,3-hydroxydodecanedioate*,0.9266129,glycocholate,1.0810994
44,phenyllactate (PLA),1.0791659,(N(1) + N(8))-acetylspermidine,1.0810249
45,dihomolinolenate (20:3n3 or 3n6),1.0791019,1-palmitoyl-galactosylglycerol (16:0)*,1.0809927
46,palmitoleoyl ethanolamide*,0.9267241,1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,0.9251393
47,S-carboxymethyl-L-cysteine,1.0786892,tetradecadienoate (14:2)*,0.92576057
48,OAHSA (18:1/OH-18:0),0.9273278,1-linoleoyl-GPA (18:2)*,0.925762
49,pheophytin A,0.92737204,taurocholenate sulfate*,1.0801803
50,"branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*",1.0781959,N-acetylvaline,0.92581016
51,5-dodecenoate (12:1n7),0.92751354,erucoylcarnitine (C22:1)*,0.9258385
52,linolenoyl ethanolamide,1.0780516,trimethylamine N-oxide,0.92605156
53,N-acetyl-aspartyl-glutamate (NAAG),1.0779061,3-dehydrochenodeoxycholate,1.0796196
54,saccharopine,0.9279372,N6-carboxymethyllysine,0.92626137
55,tetrahydrocortisone,1.0776101,"sphingomyelin (d18:2/24:1, d18:1/24:2)*",1.079232
56,1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),0.92799205,5-methylcytosine,0.92659205
57,pterin,0.9282778,homocitrulline,1.0791327
58,indoleacetate,0.92832977,tyrosylglycine,0.9267476
59,imidazole propionate,0.9284257,2-methylbutyrylphenylalanine,0.9268089
60,glycerophosphoglycerol,1.0769688,2-keto-3-deoxy-gluconate,0.9270805
61,(3'-5')-adenylylguanosine*,1.076944,S-methylcysteine,0.92724544
62,N-carboxymethylalanine,1.0766778,N-carbamoylalanine,0.9275852
63,xanthine,1.0764816,stearoyl ethanolamide,0.927607
64,4-hydroxyhippurate,1.0763854,creatine,1.0779911
