,"Week 1, eventual recur.","Week 1, eventual recur.",All Data,All Data
,Metabolites,Importance Rank (sums to one),Metabolites,Importance Rank (sums to one)
0,N-carbamoylaspartate,0.029015905,stachydrine,0.015296359
1,"2,3-dimethylsuccinate",0.014657041,N-palmitoylglycine,0.015069976
2,valylglutamine,0.012361458,chenodeoxycholate,0.013584761
3,13-HODE + 9-HODE,0.011351908,lignoceroyl sphingomyelin (d18:1/24:0),0.011013524
4,mevalonolactone,0.011126562,sucralose,0.010707497
5,2-isopropylmalate,0.011105682,"2,3-dimethylsuccinate",0.009997931
6,fructose,0.011000216,1-(1-enyl-stearoyl)-GPE (P-18:0)*,0.009348267
7,7-ketocholesterol,0.010413695,1-palmitoyl-galactosylglycerol (16:0)*,0.008995164
8,5-methylthioadenosine (MTA),0.010148951,S-carboxymethyl-L-cysteine,0.008584639
9,1-methylhypoxanthine,0.009601239,histidine,0.008549018
10,3-hydroxylaurate,0.009153058,phosphocholine,0.008358052
11,gamma-glutamylthreonine,0.008863418,2-isopropylmalate,0.008231983
12,glycerol 3-phosphate,0.008653322,indolepropionate,0.00809442
13,3-amino-2-piperidone,0.00856498,citraconate/glutaconate,0.007648628
14,N6-carboxymethyllysine,0.008342549,steviol,0.007557167
15,caprate (10:0),0.008141573,1-margaroylglycerol (17:0),0.007519354
16,alpha-hydroxyisovalerate,0.00727,sucrose,0.007344437
17,dihomolinoleate (20:2n6),0.007255578,3-dehydrocholate,0.007147848
18,phytanate,0.007232392,oleoyl-linoleoyl-glycerol (18:1/18:2) [1],0.007123948
19,tryptophan,0.007230952,serotonin,0.007088083
20,1-palmitoyl-2-linoleoyl-digalactosylglycerol (16:0/18:2)*,0.007227804,3-hydroxyisonicotinic acid,0.007064935
21,alpha-CEHC sulfate,0.007178503,alpha-CEHC sulfate,0.007003574
22,pyruvate,0.007168485,N-carbamoylglutamate,0.006938524
23,3-methylxanthine,0.007159533,4-cholesten-3-one,0.006656261
24,methyl indole-3-acetate,0.00699555,acisoga,0.006556102
25,methylmalonate (MMA),0.006954882,N-carbamoylalanine,0.006207263
26,imidazole propionate,0.006849564,arabitol/xylitol,0.006126901
27,sucrose,0.006388178,prolylglycine,0.006123565
28,glutamyl-meso-diaminopimelate,0.006380196,S-methylcysteine,0.0061231
29,"1,2-dilinoleoyl-digalactosylglycerol (18:2/18:2)*",0.00623592,phenol sulfate,0.005940957
30,cholate,0.005858741,uracil,0.005905136
31,(3'-5')-adenylylguanosine*,0.005841776,4-imidazoleacetate,0.005904681
