,Metabolites,Odds ratio (recurr / cleared)
0,quinolinate,0.8519509434700012
1,gamma-glutamyl-alpha-lysine,0.8558641672134399
2,phenylacetate,0.8572901487350464
3,1-carboxyethylvaline,0.8582513332366943
4,3-hydroxyhexanoate,0.8618404269218445
5,dimethyl sulfone,0.8631746172904968
7,leucylglutamine*,0.8643638491630554
8,N-acetylglucosamine/N-acetylgalactosamine,0.8652178645133972
9,kynurenine,0.86537104845047
15,myristoleoylcarnitine (C14:1)*,0.867621123790741
16,1-linoleoyl-GPE (18:2)*,0.8687401413917542
17,glycylisoleucine,0.868889570236206
18,chiro-inositol,0.8691637516021729
19,1-stearoyl-GPS (18:0)*,0.8692567944526672
20,1-palmitoleoylglycerol (16:1)*,0.8700959086418152
21,epiandrosterone sulfate,0.8705444931983948
22,ursocholate,0.8707191348075867
23,2-palmitoleoylglycerol (16:1)*,0.8709098696708679
25,N-methylproline,0.8719806671142578
26,21-hydroxypregnanolone monosulfate (2),0.872192919254303
28,calystegine A3,0.8729228377342224
29,3-phenylpropionate (hydrocinnamate),0.8739814162254333
30,imidazole propionate,0.8752496838569641
33,N-acetylcitrulline,0.8770138621330261
34,O-sulfo-L-tyrosine,0.8772081136703491
35,10-heptadecenoate (17:1n7),0.8775495886802673
41,xanthosine,0.8798312544822693
50,deoxycarnitine,0.8839185237884521
53,vitexin,0.8865625262260437
54,heptenedioate (C7:1-DC)*,0.8872985243797302
56,mannose,0.8879594206809998
58,N-acetyl-beta-glucosaminylamine,0.8894646167755127
59,glycerol,0.889771580696106
60,eicosanoylsphingosine (d20:1)*,0.8901678323745728
61,lactosyl-N-palmitoyl-sphingosine (d18:1/16:0),0.8905110955238342
62,pyroglutamine*,0.8908094763755798
64,1-stearoyl-GPG (18:0),0.8921275734901428
65,oleate/vaccenate (18:1),0.8922097086906433
66,phenylpyruvate,0.8922938704490662
70,allo-threonine,0.8960459232330322
72,N-acetylglucosamine 6-sulfate,0.8969191312789917
73,"uridine-2',3'-cyclic monophosphate",0.8969311118125916
74,ectoine,0.8969411849975586
78,anserine,0.8979029059410095
81,urate,0.898311972618103
83,lithocholate,0.8984457850456238
84,1-oleoyl-GPG (18:1)*,0.8990190029144287
87,N-formylphenylalanine,0.8997991681098938
92,3-hydroxybutyrate (BHBA),0.9017078280448914
98,inosine,0.9036141633987427
101,N-propionylalanine,0.9041329622268677
102,stearoyl ethanolamide,0.9041621685028076
103,"androstenediol (3beta,17beta) monosulfate (1)",0.9043276309967041
104,adrenate (22:4n6),0.9046068787574768
107,cytidine,0.9057918787002563
108,dihomolinoleate (20:2n6),0.9058157801628113
112,5-acetylamino-6-formylamino-3-methyluracil,0.9066009521484375
114,dihydrocaffeate,0.9075935482978821
116,"12,13-DiHOME",0.9083407521247864
120,ribitol,0.9090892672538757
121,glutamyl-meso-diaminopimelate,0.909191906452179
122,O-acetylhomoserine,0.9095951914787292
124,4-hydroxyphenylpyruvate,0.9100318551063538
131,thiamin (Vitamin B1),0.9118946194648743
143,myristoylcarnitine (C14),0.9137433767318726
144,chenodeoxycholic acid sulfate (1),0.914074718952179
145,indolepropionate,0.9144240617752075
146,3-methylxanthine,0.9145271182060242
147,"2,6-dihydroxybenzoic acid",0.9146515130996704
149,S-carboxymethyl-L-cysteine,0.9158518314361572
154,cholate,0.9181520938873291
155,linoleoyl ethanolamide,0.9185291528701782
156,gamma-glutamylphenylalanine,0.9187589883804321
157,10-nonadecenoate (19:1n9),0.918804943561554
158,beta-hydroxyisovaleroylcarnitine,0.919544517993927
162,nonadecanoate (19:0),0.9203745722770691
166,1-oleoylglycerol (18:1),0.9208158254623413
170,eicosenoate (20:1n9 or 1n11),0.9212449789047241
174,Flavone derivative C26H28O14 (2)*,0.9218838214874268
175,gamma-glutamylvaline,0.9221079349517822
177,12-dehydrocholate,0.9224553108215332
178,glycerophosphorylcholine (GPC),0.9227747321128845
179,"1,3,7-trimethylurate",0.9232997298240662
180,N-palmitoyl-heptadecasphingosine (d17:1/16:0)*,0.9241117835044861
182,13-HODE + 9-HODE,0.9247767925262451
186,caffeate,0.9262019991874695
189,3-hydroxyoleate*,0.9272308945655823
193,S-carboxyethylcysteine,0.9286438226699829
194,N-acetylvaline,0.9293115735054016
196,"1,7-dimethylurate",0.929360568523407
202,adipate,0.9302536249160767
206,3beta-hydroxy-5-cholestenoate,0.9316878318786621
208,alanyl-glutamyl-meso-diaminopimelate,0.9327734112739563
212,isoursodeoxycholate sulfate (1),0.9339927434921265
214,phenylalanylglycine,0.9341767430305481
215,nicotianamine,0.9342513084411621
220,2-linoleoylglycerol (18:2),0.9361860752105713
223,glutamine,0.9365061521530151
233,feruloylquinate (4),0.9378150105476379
234,myristate (14:0),0.938275933265686
239,alanylleucine,0.9387785196304321
241,glycylleucine,0.9389791488647461
243,"2,8-quinolinediol",0.9391658902168274
244,methylurea,0.9395850896835327
245,butyrylputrescine/isobutyrylputrescine,0.9401490688323975
246,N-acetylmuramate,0.9403291344642639
247,coumaroylquinate (2),0.9408109784126282
248,galactonate,0.9410419464111328
253,CMP,0.9419722557067871
254,proline,0.9425270557403564
255,gamma-glutamyltyrosine,0.9426537156105042
256,3-hydroxy-2-methylpyridine,0.9431240558624268
258,1-linoleoyl-GPG (18:2)*,0.9433650374412537
260,3-methyl-2-oxobutyrate,0.9438754916191101
262,homostachydrine*,0.9442358613014221
263,2-dimethylaminoethanol,0.9442418217658997
273,tetrahydrocortisol sulfate (1),0.9473714828491211
277,pimeloylcarnitine/3-methyladipoylcarnitine (C7-DC),0.9482771754264832
